1,Todd Gurley II,RB,LAR
2,Le'Veon Bell,RB,PIT
3,David Johnson,RB,ARI
4,Ezekiel Elliott,RB,DAL
5,Antonio Brown,WR,PIT
6,Saquon Barkley,RB,NYG
7,Alvin Kamara,RB,NO
8,Julio Jones,WR,ATL
9,Odell Beckham Jr,WR,NYG
10,DeAndre Hopkins,WR,HOU
11,Kareem Hunt,RB,KC
12,Leonard Fournette,RB,JAC
13,Dalvin Cook,RB,MIN
14,Melvin Gordon,RB,LAC
15,Keenan Allen,WR,LAC
16,Michael Thomas,WR,NO
17,Devonta Freeman,RB,ATL
18,AJ Green,WR,CIN
19,Jordan Howard,RB,CHI
20,Rob Gronkowski,TE,NE
21,Davante Adams,WR,GB
22,Mike Evans,WR,TB
23,Christian McCaffrey,RB,CAR
24,Larry Fitzgerald,WR,ARI
25,TY Hilton,WR,IND
26,Adam Thielen,WR,MIN
27,Doug Baldwin,WR,SEA
28,Stefon Diggs,WR,MIN
29,Travis Kelce,TE,KC
30,Zach Ertz,TE,PHI
31,Tyreek Hill,WR,KC
32,Allen Robinson,WR,CHI
33,Josh Gordon,WR,CLE
34,Alshon Jeffery,WR,PHI
35,Amari Cooper,WR,OAK
36,LeSean McCoy,RB,BUF
37,Jerick McKinnon,RB,SF
38,Joe Mixon,RB,CIN
39,Demaryius Thomas,WR,DEN
40,Brandin Cooks,WR,LAR
41,Marvin Jones Jr,WR,DET
42,Golden Tate,WR,DET
43,Kenyan Drake,RB,MIA
44,Royce Freeman,RB,DEN
45,Derrius Guice,RB,WAS
46,Ronald Jones II,RB,TB
47,Alex Collins,RB,BAL
48,Rashaad Penny,RB,SEA
49,Derrick Henry,RB,TEN
50,Jay Ajayi,RB,PHI
51,JuJu Smith-Schuster,WR,PIT
52,Robert Woods,WR,LAR
53,Jarvis Landry,WR,CLE
54,Emmanuel Sanders,WR,DEN
55,Marshawn Lynch,RB,OAK
56,Aaron Rodgers,QB,GB
57,Tom Brady,QB,NE
58,Sony Michel,RB,NE
59,Isaiah Crowell,RB,NYJ
60,Lamar Miller,RB,HOU
61,Tevin Coleman,RB,ATL
62,Corey Davis,WR,TEN
63,Pierre Garcon,WR,SF
64,Devin Funchess,WR,CAR
65,Michael Crabtree,WR,BAL
66,Cam Newton,QB,CAR
67,Carson Wentz,QB,PHI
68,Russell Wilson,QB,SEA
69,Deshaun Watson,QB,HOU
70,Chris Hogan,WR,NE
71,Sammy Watkins,WR,KC
72,Kelvin Benjamin,WR,BUF
73,Will Fuller V,WR,HOU
74,Kenny Stills,WR,MIA
75,Randall Cobb,WR,GB
76,Josh Doctson,WR,WAS
77,Greg Olsen,TE,CAR
78,Delanie Walker,TE,TEN
79,Evan Engram,TE,NYG
80,Dion Lewis,RB,TEN
81,Robby Anderson,WR,NYJ
82,Marquise Goodwin,WR,SF
83,Rex Burkhead,RB,NE
84,Jimmy Graham,TE,GB
85,Kerryon Johnson,RB,DET
86,Carlos Hyde,RB,CLE
87,Marlon Mack,RB,IND
88,Cooper Kupp,WR,LAR
89,DeVante Parker,WR,MIA
90,Jordan Reed,TE,WAS
91,Sterling Shepard,WR,NYG
92,DeSean Jackson,WR,TB
93,Julian Edelman,WR,NE
94,Jamaal Williams,RB,GB
95,Duke Johnson Jr,RB,CLE
96,Tarik Cohen,RB,CHI
97,Mark Ingram,RB,NO
98,Nick Chubb,RB,CLE
99,Kyle Rudolph,TE,MIN
100,Chris Thompson,RB,WAS
101,Jamison Crowder,WR,WAS
102,Rishard Matthews,WR,TEN
103,Kenny Golladay,WR,DET
104,Allen Hurns,WR,DAL
105,Jordy Nelson,WR,OAK
106,Nelson Agholor,WR,PHI
107,Chris Carson,RB,SEA
108,CJ Anderson,RB,CAR
109,Ty Montgomery,RB,GB
110,Trey Burton,TE,CHI
111,David Njoku,TE,CLE
112,Giovani Bernard,RB,CIN
113,Latavius Murray,RB,MIN
114,Jordan Wilkins,RB,IND
115,Marqise Lee,WR,JAC
116,Paul Richardson,WR,WAS
117,Andrew Luck,QB,IND
118,Ben Roethlisberger,QB,PIT
119,Kirk Cousins,QB,MIN
120,Jack Doyle,TE,IND
121,DJ Moore,WR,CAR
122,Cameron Meredith,WR,NO
123,Mohamed Sanu,WR,ATL
124,Tyler Lockett,WR,SEA
125,Michael Gallup,WR,DAL
126,Calvin Ridley,WR,ATL
127,Matthew Stafford,QB,DET
128,Drew Brees,QB,NO
129,Jordan Matthews,WR,NE
130,Dez Bryant,WR,FA
131,John Ross,WR,CIN
132,Martavis Bryant,WR,OAK
133,Charles Clay,TE,BUF
134,Patrick Mahomes,QB,KC
135,Philip Rivers,QB,LAC
136,George Kittle,TE,SF
137,Jimmy Garoppolo,QB,SF
138,Matt Ryan,QB,ATL
139,Alex Smith,QB,WAS
140,Marcus Mariota,QB,TEN
141,Danny Amendola,WR,MIA
142,Anthony Miller,WR,CHI
143,Zay Jones,WR,BUF
144,James Washington,WR,PIT
145,Donte Moncrief,WR,JAC
146,Mike Williams,WR,LAC
147,James White,RB,NE
148,Theo Riddick,RB,DET
149,Devontae Booker,RB,DEN
150,Nyheim Hines,RB,IND
151,Doug Martin,RB,OAK
152,Matt Breida,RB,SF
153,LeGarrette Blount,RB,DET
154,Kenneth Dixon,RB,BAL
155,Aaron Jones,RB,GB
156,Jaguars D/ST,DST,JAC
157,Tyler Eifert,TE,CIN
158,Christian Kirk,WR,ARI
159,Mike Wallace,WR,PHI
160,Terrelle Pryor Sr,WR,NYJ
161,Darren Sproles,RB,PHI
162,Dak Prescott,QB,DAL
